"trial ID"	"time"	"y1"	"y2"	"y3"	"y4"	"n1"	"n2"	"n3"	"n4"	"t1"	"t2"	"t3"	"t4"	na	"C1"	"C2"	"C3"  "des"
82      	2	3.24	2.94	NA	NA	207	224	NA	NA	2	5	NA	NA	2	3	NA	NA    6
83      	2.4	2.65	1.72	NA	NA	97	188	NA	NA	2	4	NA	NA	2	3	NA	NA    3
84      	2	9.19	7.63	NA	NA	320	634	NA	NA	2	3	NA	NA	2	3	NA	NA    2
85      	2.6	3.18	2.87	NA	NA	245	467	NA	NA	2	3	NA	NA	2	3	NA	NA    2
86      	3	3.21	2.75	NA	NA	70	69	NA	NA	2	4	NA	NA	2	3	NA	NA    3
87      	3	2.82	2.48	NA	NA	174	191	NA	NA	2	4	NA	NA	2	3	NA	NA    3
88      	1.6	3.02	2.02	NA	NA	378	348	NA	NA	2	4	NA	NA	2	3	NA	NA    3
89      	2	4	3.53	NA	NA	397	1128	NA	NA	2	3	NA	NA	2	3	NA	NA    2
90      	2	4.32	3.02	NA	NA	176	168	NA	NA	2	3	NA	NA	2	3	NA	NA    2
91      	2	3.34	2.6	NA	NA	249	989	NA	NA	2	4	NA	NA	2	3	NA	NA    3
92      	3	10.22	6.57	NA	NA	212	222	NA	NA	2	4	NA	NA	2	3	NA	NA    3
93      	3	6.56	4.41	NA	NA	78	129	NA	NA	1	4	NA	NA	2	2	NA	NA    7
94      	2	6.39	4.56	NA	NA	416	460	NA	NA	2	3	NA	NA	2	3	NA	NA    2
95      	2	3.33	2.69	NA	NA	310	338	NA	NA	2	3	NA	NA	2	3	NA	NA    2
96      	1	1.09	0.79	NA	NA	173	389	NA	NA	2	5	NA	NA	2	3	NA	NA    6
97      	3	5.62	5.59	NA	NA	340	356	NA	NA	2	3	NA	NA	2	3	NA	NA    2
98      	3	5.95	5.64	NA	NA	381	376	NA	NA	2	3	NA	NA	2	3	NA	NA    2
99      	3	12.83	10.67	NA	NA	289	821	NA	NA	2	3	NA	NA	2	3	NA	NA    2
100      	3	3.4	2.5	NA	NA	51	44	NA	NA	2	4	NA	NA	2	3	NA	NA    3
101     	3	2.18	2.1	NA	NA	153	163	NA	NA	2	5	NA	NA	2	3	NA	NA    6
102     	2.5	2.16	0.55	NA	NA	307	311	NA	NA	2	6	NA	NA	2	3	NA	NA    4
103     	2	4.08	2.84	NA	NA	155	309	NA	NA	2	3	NA	NA	2	3	NA	NA    2
104     	2	10.81	10.11	NA	NA	137	148	NA	NA	2	3	NA	NA	2	3	NA	NA    2
105     	2	12.12	10.25	NA	NA	180	188	NA	NA	2	3	NA	NA	2	3	NA	NA    2
106     	3	4.21	2.74	NA	NA	166	145	NA	NA	2	5	NA	NA	2	3	NA	NA    6
107     	1.75	5.6	4.98	NA	NA	196	206	NA	NA	2	3	NA	NA	2	3	NA	NA    2
108     	2.5	6.36	3.79	NA	NA	261	251	NA	NA	2	3	NA	NA	2	3	NA	NA    2
109     	2.5	15.04	8.5	NA	NA	268	260	NA	NA	2	3	NA	NA	2	3	NA	NA    2
110     	2	8.39	6.51	NA	NA	216	231	NA	NA	2	3	NA	NA	2	3	NA	NA    2
111     	1.7	6.62	5.08	NA	NA	210	684	NA	NA	2	3	NA	NA	2	3	NA	NA    2
112     	2	5.04	3.55	NA	NA	224	220	NA	NA	2	3	NA	NA	2	3	NA	NA    2
113     	3	6.02	4.1	NA	NA	254	1500	NA	NA	2	3	NA	NA	2	3	NA	NA    2
114     	3	7.5	5.26	NA	NA	192	377	NA	NA	2	4	NA	NA	2	3	NA	NA    3
115     	3	1.9	2.5	NA	NA	43	50	NA	NA	3	4	NA	NA	2	4	NA	NA    3
116     	2	7.64	10.37	NA	NA	123	62	NA	NA	4	6	NA	NA	2	4	NA	NA    8
117     	3	3.1	3.6	NA	NA	125	129	NA	NA	5	6	NA	NA	2	4	NA	NA    9
118     	3	1.94	1.61	NA	NA	156	163	NA	NA	4	6	NA	NA	2	4	NA	NA    8
119     	3	3.5	3.3	NA	NA	126	125	NA	NA	4	6	NA	NA	2	4	NA	NA    8
120     	2	2	2.8	NA	NA	98	99	NA	NA	4	6	NA	NA	2	4	NA	NA    8
121     	2	2.1	2	NA	NA	98	85	NA	NA	3	6	NA	NA	2	4	NA	NA    10
122     	3	21.06	11.65	16.13	NA	202	124	85	NA	2	3	4	NA	3	3	3	NA    11
123     	2	5.61	4.44	4.81	NA	243	246	245	NA	2	3	4	NA	3	3	3	NA    11 
124     	3	6.25	4.44	4.81	NA	184	246	245	NA	2	3	4	NA	3	3	3	NA    11
125     	1	5.42	4.47	5.09	NA	142	129	128	NA	2	4	5	NA	3	3	3	NA    12
126     	3	8.27	6.95	7.1	NA	316	791	315	NA	2	3	5	NA	3	3	3	NA    13
127     	3	4.4	3.44	2.63	NA	57	43	63	NA	2	3	5	NA	3	3	3	NA    13
128     	2	3.95	2.57	3.33	NA	20	23	21	NA	2	3	5	NA	3	3	3	NA    13
129     	2.5	6.25	5.13	4.8185	NA	186	370	341	NA	2	3	4	NA	3	3	3	NA    11
130     	2	10.16	10.02	8.09	6.54	333	162	335	332	1	2	3	4	4	1	2	2     14
